image_id,ground_truth_labels,finetuned_labels,finetuned_scores,pretrained_labels,pretrained_scores
163308423,[2],"[ 2  1  9  8 15  2  1 21  9 11  5  2 13 25  4 22 10 26  9  2  2  2 14 28
 26 11 19  2  2 23  1  2 11  7  5  1  2 21 17 10  2  5  7  9  7  7 24  5
  2  2 27  2  8  5  5 25  2  1  1 16  6  2 20  2  1 26  2]","[0.900979   0.3858367  0.29117632 0.27399343 0.22605251 0.20556603
 0.18847878 0.17723306 0.1702199  0.16743071 0.16202472 0.1441686
 0.14320903 0.13829757 0.13753586 0.12509286 0.12483605 0.12298121
 0.11791918 0.11741999 0.10879365 0.10145863 0.09902764 0.09312135
 0.09278134 0.09182633 0.08881253 0.08831918 0.08706948 0.08508532
 0.08447831 0.08371711 0.0829716  0.08247831 0.08243508 0.07971619
 0.07829588 0.07672776 0.07581205 0.07401906 0.07292674 0.07282918
 0.07096787 0.06931606 0.06821041 0.06621557 0.06587253 0.0652938
 0.06452695 0.05925021 0.0592499  0.05916562 0.05871368 0.05823698
 0.05817564 0.05768251 0.05656799 0.05609867 0.05539253 0.05482647
 0.05469862 0.05404203 0.05294679 0.05287362 0.05176705 0.05082319
 0.05044999]","[ 1 77 75  1 47  1 73 77 67  1 46 85 90 84 32 44 89 54 58  1  1 75 75 84
  1]","[0.7595794  0.58944124 0.405905   0.16009067 0.14735706 0.14645648
 0.12306038 0.12053591 0.11922519 0.11704887 0.11442782 0.09824366
 0.09727274 0.09696414 0.09664573 0.09437682 0.07987981 0.06955025
 0.06273081 0.06094428 0.058394   0.05297369 0.05266854 0.05019943
 0.05014846]"
168530345,[2 9],"[ 2  2 21  5 22  9 15  2  1  1  2  9 19 11 25 10 21 10  5 21  9  1  9 17
  8 26  9  2  2 25 22  5 26  6  5  9 21 26 19 11 11 26 23  2  9 15 26  2
  1 26  8 23  2  2 11  7  8  2  9  2  1  2  2 25 26  2  2 14 19  6  5 14
  7  6 19 15 24 27  5  2 23  3 21 10 17 22 19 15 15  1 25  4 13 26  4 21
 22 19 21 15 12 25 10  9 21 10 10  2  2 21 22  5 12  8  8  9  9 21  1 12
  7 25  2 21  2  2 19 22  2 10  2]","[0.8712722  0.68143475 0.59387213 0.42474273 0.3788293  0.32290307
 0.30668375 0.2921401  0.23279765 0.23031615 0.22641948 0.20301478
 0.19523685 0.18510523 0.18383369 0.1837046  0.1793288  0.17805503
 0.1744715  0.16142966 0.14449692 0.1315268  0.1299101  0.12980372
 0.12863395 0.12524056 0.12273756 0.1216356  0.11990451 0.11636449
 0.11567494 0.10499461 0.10310417 0.10236305 0.10236148 0.10140944
 0.1003793  0.09851339 0.09778858 0.09688405 0.09683737 0.09443054
 0.09380148 0.09324235 0.09265877 0.09262697 0.09139804 0.08853382
 0.08819142 0.0878491  0.08702978 0.08444402 0.08369364 0.08314342
 0.082733   0.08105849 0.08063647 0.0797326  0.07899246 0.07698925
 0.07652082 0.07609273 0.07591791 0.07502943 0.07483111 0.07434674
 0.07429728 0.07391749 0.07362141 0.07316031 0.07297871 0.07283148
 0.07269298 0.07235923 0.07221635 0.07167587 0.07116821 0.07026877
 0.06992418 0.06985161 0.06958959 0.06957847 0.06852781 0.06789992
 0.06775827 0.0675083  0.06723812 0.06629689 0.06536455 0.06521175
 0.06514392 0.06446805 0.06423331 0.06395586 0.06359994 0.06352497
 0.06300714 0.06204035 0.06118925 0.06066161 0.0603194  0.06022057
 0.06015032 0.06003376 0.05970072 0.05762679 0.05739808 0.05733169
 0.05702396 0.05702301 0.05664664 0.05606632 0.05566009 0.05562899
 0.05436222 0.05413095 0.05389579 0.05387723 0.05308896 0.05289834
 0.05269773 0.05216941 0.05210779 0.05140365 0.0513     0.05105307
 0.05068697 0.05048529 0.05027952 0.05021238 0.05001286]","[73 77 76 72 72 77 76 84  5  1 73  1 73  1 73 67 62 73 77 77  1 67 16 72
 72 44 28 77 76  5 15 76 84  1 77 76  1  1 75  1 72 84 76 84 72 16 77 74
  9 77 16  1 77 28  1 76 38 28 73 73 76  3 10 72  1 84]","[0.7244501  0.5228432  0.310304   0.2687567  0.25487143 0.17705688
 0.1671142  0.16135369 0.1601395  0.15111607 0.1239556  0.11960072
 0.11368486 0.1094105  0.10356468 0.09984227 0.09976523 0.09635618
 0.0929685  0.09291606 0.08607037 0.08442885 0.08442428 0.08167382
 0.08079156 0.07778613 0.07770751 0.07747149 0.07742472 0.07555769
 0.07393539 0.07382783 0.0720852  0.0718139  0.07117246 0.06699134
 0.06592935 0.06592453 0.06576913 0.06485388 0.06295708 0.06274377
 0.06269257 0.0604188  0.06003654 0.05923803 0.05916185 0.05912044
 0.05909946 0.0588753  0.0575777  0.05756531 0.05627766 0.05593773
 0.05562583 0.05420527 0.05382372 0.05329629 0.05327144 0.05326562
 0.05290912 0.05270328 0.05228932 0.05151697 0.05146055 0.05012944]"
193734896,[1 4],"[ 1  1  1  2  1  1  5  2  4  1 11  1  1  1 22  1  1  1  1  2  7  1  1  1
  9  1 22  1  1  1  1  1 22  1 23  1  1  1  5  1  2  1  1  1  4 26  1  1
  1 14  1  1  1  1  1  5  4  1  1  1 17  7  1 11  2  2  7 15  1 11 22  1
  1  1 11  1 10  1  1  1  1 10 21 10 22 22  1  7 15  1 11 21 22  5  9  2
  1  1  1 24  1  1  7  1 23 13  1  1  1  1 12  1 22  1]","[0.56224394 0.43470904 0.27870336 0.22526154 0.21141383 0.1938064
 0.18281534 0.16849314 0.16534078 0.16084263 0.15963271 0.15572701
 0.1548651  0.14968918 0.1452682  0.13741311 0.12555368 0.12545459
 0.1237492  0.12231781 0.12230428 0.11914729 0.11777876 0.1157138
 0.11114984 0.10986954 0.10821827 0.10692043 0.10495731 0.09791768
 0.09722749 0.09686938 0.09604215 0.09314156 0.08928712 0.08913543
 0.08896637 0.08755047 0.08750761 0.08710147 0.08557688 0.08428316
 0.08287197 0.08189246 0.08084168 0.08065936 0.08061171 0.08053465
 0.07887784 0.07757496 0.07607119 0.07534182 0.07456815 0.0741886
 0.07409325 0.07370234 0.07331982 0.0732301  0.07252669 0.07111163
 0.07087387 0.0704866  0.06916887 0.06822682 0.06799734 0.06769844
 0.0673414  0.06729199 0.06727632 0.06708617 0.06633025 0.06619046
 0.06320865 0.06314484 0.06232789 0.06196443 0.06185555 0.06179029
 0.06051812 0.06013525 0.05966138 0.05886043 0.0583494  0.0574637
 0.05702103 0.05701415 0.05673044 0.05658543 0.05653376 0.05627069
 0.05599183 0.05598852 0.05598576 0.05593418 0.05592521 0.0558293
 0.05542529 0.05447849 0.05432311 0.05428239 0.053634   0.05334592
 0.05316398 0.05303439 0.05279255 0.05258416 0.05238272 0.05220067
 0.05184426 0.05122131 0.05111977 0.05106742 0.05075409 0.05014751]","[ 1  1 31  1  1 33  1  1  3  1 13  3  1  1  3  1  1  1 31  1  1  1 77  1
  1  1 77  1  1  1  1  1 77  3  1  1 33 31 31  1 77  8 33 27  1  1  3  1
  1  1  1  8  1  3  1 41  1  1 40 77  1  1  1  1  8 77  1  1 89  3  1  1
 31  8  1  8  1  1  1  1  1  1  1  1  1 62  6  1 31  1 27  1  1  1  1 34
 31  1 33  1  1  1  1  1 15  1  1  1 33  1 44 62 31 15 31  1  1 31 31  8
  1  1  1  1  1  3 72 27 77 42 72  1 27 41  1 49 77  7  1  1 44  1 39  1
 62 87  1  6  1 62  1  1 62 31 62 44 41 33 15 80  1 31  1 33 34 31 42  3
 77 31 84  1  1 61 84 31  1 31 31 31  1  1  1 62 77 62  3 14 44 82  8 15
 44  1 31 35  3  1 31 31  1  4 62 79 32 84 62 33  1 41 62 33  7 28 27  4
 28  3  9 15 32 27 15  9  1 63  1 36  8  6 13 35 36 73  8 88 72]","[0.8178937  0.71750414 0.61343604 0.5776693  0.48724508 0.42216927
 0.38929468 0.3825596  0.36988243 0.36518732 0.3622106  0.32085282
 0.31750968 0.30392438 0.2962603  0.29575244 0.29026687 0.27967227
 0.27600375 0.27149174 0.26612362 0.26320246 0.25751024 0.2470164
 0.23581094 0.2252564  0.2214717  0.21983364 0.20957294 0.20860048
 0.20589024 0.20427431 0.20114799 0.19928451 0.19302666 0.18885675
 0.18619443 0.18540415 0.18514933 0.18277207 0.17538947 0.17527308
 0.1751865  0.17474866 0.17340133 0.17122938 0.16883741 0.16772516
 0.16768749 0.16658734 0.16577768 0.16512915 0.162238   0.15639588
 0.15595028 0.15458907 0.14838514 0.14390853 0.14192164 0.1408659
 0.13661997 0.1346514  0.13406134 0.1320061  0.13139407 0.13032185
 0.12728386 0.12684675 0.12659146 0.12647477 0.12604599 0.12549421
 0.12142989 0.12060495 0.12052228 0.12028325 0.11975041 0.11830954
 0.11830636 0.11793036 0.1176085  0.11746092 0.11658892 0.11549196
 0.11448774 0.11413313 0.11265553 0.11246295 0.11143464 0.10997824
 0.10875072 0.10767013 0.10734457 0.10730033 0.1065843  0.1061267
 0.10610492 0.10559169 0.1042952  0.10370079 0.10295676 0.10213483
 0.1008228  0.10017119 0.09965131 0.09959576 0.0992112  0.09884184
 0.09844816 0.09775805 0.09535491 0.094124   0.09403099 0.09390519
 0.09348089 0.09313241 0.09283445 0.09281195 0.0915774  0.0904132
 0.09039085 0.09023828 0.08970729 0.08932161 0.08793903 0.08791704
 0.08735162 0.08729441 0.08702648 0.08660442 0.08650862 0.08636604
 0.08608288 0.08599373 0.08547189 0.08545832 0.08526903 0.08504022
 0.08486669 0.08471882 0.08465863 0.08443604 0.08351146 0.08258475
 0.08256745 0.08184431 0.08175623 0.0811048  0.08066472 0.08058069
 0.08046773 0.08003456 0.07999719 0.07968195 0.07956001 0.07942617
 0.07937354 0.07880653 0.07872067 0.07860423 0.07812891 0.07811526
 0.07802913 0.07733744 0.07711585 0.07696531 0.0769452  0.07693812
 0.07691944 0.07677114 0.07674053 0.07601044 0.07540434 0.07419137
 0.07383243 0.07333607 0.07319613 0.07292116 0.07266146 0.07224885
 0.07185179 0.0714103  0.07140902 0.07113934 0.07089683 0.07060269
 0.07045688 0.07030214 0.06938109 0.06928375 0.06924824 0.06915881
 0.06910926 0.06864553 0.06800964 0.06701417 0.06700869 0.06698811
 0.06650269 0.06642198 0.06640554 0.06559448 0.06552666 0.06532184
 0.06441504 0.06431656 0.06425855 0.06423426 0.06406761 0.06405197
 0.0638202  0.0636512  0.06130056 0.06001969 0.05926952 0.05895472
 0.05830254 0.05792367 0.05786866 0.05746591 0.0572923  0.05697532
 0.05435473 0.05434569 0.05316404 0.0529678  0.05271623 0.05258842
 0.05216435 0.05170202 0.05142662 0.05117137 0.05116148 0.05113602
 0.05110247 0.05087693 0.05083127]"
205205288,[1],"[ 1 11  5  1  2  3  8 22 24 21 25  9 11 14  7 18  4  1 10 20 16  1  5  6
 17  7 13 15  1 22  1  1 24 23  8  1  9 22 11]","[0.96450436 0.33014968 0.21083626 0.19824107 0.18872072 0.18550175
 0.16838402 0.16405627 0.16350022 0.15828955 0.1570947  0.12638119
 0.12359651 0.12152518 0.11925722 0.11642459 0.0985774  0.09126596
 0.08542701 0.08108464 0.07755433 0.0705314  0.06999561 0.06932763
 0.06919342 0.06339443 0.06317838 0.05899901 0.05860806 0.05806662
 0.05696381 0.05661288 0.05604116 0.05455996 0.05414472 0.05390248
 0.05141879 0.05122393 0.05090822]",[ 1 62],[0.9384598  0.09347834]
207123074,[7],"[ 7  5  8  5  2  1 11  2  8  1 13 10 23 14 21  4  7  9  2  2  2 24  6 11
 26 18  5 15 24 10  1  4 22 11  5 17 17  0  2 10  5 14  5 23  2  5  8 19
  8 10 19 10 25 10 26  7 23 13 25  7 10 24 22  5  7  8 14  1 16 26 21 22
 10 12  3  5 21 10 16  5 24  4]","[0.4956291  0.32843548 0.3042446  0.2985727  0.2935227  0.24858458
 0.23328683 0.20951112 0.18272978 0.16586745 0.15181981 0.1499265
 0.14604324 0.14369348 0.14145374 0.1401811  0.13276903 0.12777826
 0.11472974 0.11164996 0.10947159 0.10674048 0.10527483 0.10489152
 0.10469794 0.10278518 0.10276908 0.10089824 0.10004275 0.09740574
 0.09432699 0.09322522 0.09139097 0.08913955 0.08910426 0.08696123
 0.08503167 0.08398159 0.08395185 0.08179686 0.08151922 0.07969005
 0.07748972 0.07726319 0.07715011 0.07370631 0.07256511 0.06966867
 0.0694901  0.06831019 0.06827328 0.06624142 0.06518822 0.06446023
 0.06423543 0.06410179 0.06399776 0.06348209 0.06263441 0.05909729
 0.05874414 0.05771721 0.05770996 0.05766831 0.05752854 0.05732115
 0.05671812 0.05588586 0.05551601 0.05484879 0.0548156  0.05381557
 0.05375927 0.05325331 0.05318815 0.05315659 0.05281175 0.0524696
 0.05118878 0.05101702 0.05071127 0.05063887]","[47 46 67 67 47 51 44 86  1 46 67 67 47 75 67 46 46 47 14 67 50 67 13 51
 62 62]","[0.74503356 0.7030495  0.47457835 0.28283203 0.26842207 0.17741469
 0.16382873 0.15506649 0.14963737 0.10486727 0.10430642 0.08635381
 0.07993515 0.07863546 0.07400534 0.06929535 0.06919934 0.06580881
 0.06490276 0.06234609 0.06130318 0.05995207 0.05540398 0.05312218
 0.05228573 0.05136302]"
214258591,[12],[26 11  1 21 10],[0.08722626 0.07570884 0.07525153 0.0520989  0.05030271],"[87 48 28 50 49 86 48 90 53 46 67  9 62 53  1 53 62 50 57 53 28 53 53 87
 53 53 61 49 53 53 53 53 44 65 55 53 53 53 28 47 51 53 53 47 44 53 55 53
 53 32 53 53 43 48 48 53 52 53  1 53 53 53 57 15 53 53 31 90 48 53 53 61
 53  1 37 84 55 50 53 53 53 55 49 53]","[0.2964285  0.25257304 0.13689129 0.13470812 0.12334818 0.1161259
 0.10985547 0.10749293 0.09674466 0.09224454 0.09105157 0.08831837
 0.08801511 0.08789042 0.08524717 0.08468176 0.08387516 0.08245245
 0.08229375 0.08019684 0.07723272 0.07599952 0.07554765 0.07449265
 0.074185   0.07342923 0.07296854 0.07250772 0.07232301 0.07112312
 0.07030234 0.06969363 0.06946614 0.06922925 0.06911144 0.0686655
 0.0683544  0.06811826 0.06785247 0.06774823 0.06770252 0.06674886
 0.0665036  0.06584077 0.06576872 0.06506946 0.06499675 0.06481981
 0.06475753 0.06434234 0.06334844 0.06248994 0.06222549 0.0605276
 0.06042781 0.06022224 0.06011774 0.05983553 0.05982489 0.0584911
 0.05842472 0.05750868 0.05582162 0.05568782 0.05551414 0.05513636
 0.05493391 0.05490827 0.05428291 0.05401199 0.05394622 0.05394109
 0.05293886 0.05281702 0.05247769 0.05214344 0.05147779 0.05139644
 0.05116269 0.05115632 0.05105771 0.0506303  0.0502898  0.05022435]"
224117372,[9],"[ 1  2  2 21  9 22  1  5 15 10  2 25  5  8 15 11 17  2  2  1  7 14 22  9
 19  8 21  3  9  5 21 26 11  2 23 22  9 19  1  9  7  6  8  2  2  1  9 13
  4 22  9  5 21 21 12  2  5 26  2  4 11 10 22  3 11  2 19  5 24  1 25 19
 19 19  9 28  5  2  1  2  9  7  8  2 18  2  2  5  9 21  9 12  2 15  6 15
  7  6  2  3 22 14 21  9  1  2  2 24  2 15  6 22  2 26 21  9 26  2 21 20
  8 22  2 23 21 25  1 16 25  1 23 19 26 26 21 17 17 17  5 10 25 26 24 11
 21 13  5  1 26 14 26 21 11  7 21 14  8 10  8  1 26]","[0.8003706  0.7585587  0.6908275  0.5794366  0.5726121  0.50212663
 0.48543388 0.48491305 0.35538214 0.34713346 0.28022367 0.25001836
 0.22723453 0.22372095 0.20787622 0.19439317 0.1851912  0.18346646
 0.18234187 0.17935997 0.17868173 0.1779344  0.1759966  0.17577018
 0.16583273 0.15756705 0.15744497 0.15471134 0.15309395 0.15097356
 0.14720306 0.14417441 0.13779083 0.13655025 0.13423978 0.1283867
 0.1271914  0.12412162 0.12362739 0.12140025 0.12095533 0.12041038
 0.11877246 0.1186633  0.11691812 0.11471082 0.11055682 0.10909905
 0.1072632  0.10669386 0.10644446 0.10304366 0.10301903 0.10278814
 0.10253078 0.10113332 0.09907635 0.09894994 0.09800547 0.09618975
 0.09540264 0.09289005 0.09274703 0.0915767  0.09135536 0.08960041
 0.08660709 0.08647545 0.085729   0.08528444 0.08442695 0.08440947
 0.08228905 0.08172429 0.07724531 0.07711298 0.07688229 0.07635915
 0.07600912 0.07442082 0.07362984 0.07327901 0.07288425 0.0718051
 0.07122736 0.07110723 0.07043254 0.07036655 0.0692793  0.06837273
 0.06784877 0.06700875 0.06637811 0.06522284 0.06489771 0.06468116
 0.06355455 0.06354763 0.06301086 0.06300943 0.06273227 0.0625498
 0.06245429 0.06241355 0.06221816 0.06208879 0.06208806 0.06194248
 0.06169582 0.06116671 0.06115557 0.0610261  0.06039859 0.06039294
 0.06017031 0.05953482 0.05949875 0.05946707 0.05946525 0.05938801
 0.05937332 0.05933684 0.05920617 0.05911978 0.05899715 0.05888024
 0.05845729 0.05838785 0.05756259 0.05740144 0.05684721 0.05680787
 0.05634953 0.05625555 0.05581544 0.05579388 0.05571702 0.05555341
 0.05531441 0.0552307  0.05466435 0.05462337 0.05445195 0.05432403
 0.05421223 0.05401852 0.05366893 0.05349703 0.0533918  0.05248101
 0.05242867 0.05236012 0.05233731 0.05189659 0.05157191 0.05142101
 0.05141313 0.05138418 0.05060973 0.0501912  0.05015988]","[73  1 72 77 76 76 76 85  3  1 84 72 73 72 73 78 82 73  3  3 77 47  1 76
 67  1 27 84 72 67 44 47 62  9  3 44  1 31 27 73 10 33 76 75  3 51  4 67
 84 77 67 73  1 73 85 31 16 47 80 72 17 84  1 77 76 72  1 44  1 74  1 27
 77 65 73 70  1 82 17  8  1  5 44  1 33 75 31 18 41 76 44 65 28 84  8]","[0.9096128  0.78754133 0.4978173  0.38185453 0.33250105 0.30677342
 0.2845153  0.25346246 0.24061644 0.22018375 0.21787643 0.20979786
 0.20229334 0.20158945 0.1648948  0.1536378  0.1493886  0.14547451
 0.14428219 0.13927875 0.13837513 0.11694102 0.1164973  0.11057989
 0.11005128 0.1034603  0.09745046 0.09616423 0.09480518 0.09432974
 0.09418537 0.09274831 0.09204223 0.0914378  0.08844814 0.08844415
 0.08831561 0.08541956 0.08520593 0.08405693 0.08376443 0.08220156
 0.08152341 0.08040448 0.07981069 0.07905887 0.07904722 0.07729284
 0.07584809 0.07577614 0.07551029 0.0751963  0.07417379 0.07289378
 0.07243244 0.07046712 0.06945579 0.06909961 0.06602907 0.06575419
 0.0655797  0.06543438 0.06479676 0.06429733 0.06401046 0.06076453
 0.05972866 0.05888955 0.05873663 0.05833149 0.05827084 0.05814691
 0.05807972 0.05789569 0.05788558 0.05736992 0.0569572  0.05692464
 0.05674509 0.05651408 0.05583141 0.05532274 0.0550589  0.05451397
 0.0536362  0.05324335 0.05298094 0.05286668 0.05271494 0.05241585
 0.05207952 0.05155644 0.05110442 0.05067527 0.05004722]"
245200832,[ 4 15 15],"[22  1  1  2 15  2 11 10  1  8  9 21 10  2  3  9 10  1 15  1  1  2 11 15
  2  1 10 12  5  1  1  4 10 11 17 22  2]","[0.14304072 0.1382588  0.13215373 0.12695189 0.10539904 0.10492717
 0.10407884 0.09763438 0.09187855 0.09047578 0.0885158  0.08843581
 0.0875502  0.08500622 0.08346514 0.07401336 0.07345106 0.07341195
 0.07323136 0.06913603 0.06846674 0.06629052 0.06608818 0.06552421
 0.06390738 0.06178081 0.06010583 0.05776588 0.0573971  0.05503866
 0.05486614 0.05446488 0.05436067 0.05393655 0.05349646 0.05315845
 0.05222622]","[62  1 62 15 15 31  1 62 27 15 33 62  1 27 62 62 33 28  1 15  1 62 27  1
 40 31 31 41 63  2 31  1 31 15 63 15 40  1 33 62 15 27 67 31 67 31 15  2
 51  1  3 67 65 33 33  3  1  1 44 64 27 15 40 62  1 37 33  1 31 62  3 31
 41  1 40 31 62 15  4  2 62 40 28 65 27 27 62 15 15  1]","[0.6159668  0.5302187  0.4796763  0.47408515 0.43248558 0.38470465
 0.33922812 0.3227005  0.28313184 0.23993123 0.23157842 0.19169699
 0.17098749 0.16267961 0.15738186 0.15639688 0.14886914 0.14738938
 0.14698954 0.14163236 0.13909337 0.13606983 0.12920092 0.12037743
 0.11938915 0.11350132 0.10991739 0.10917548 0.10906796 0.10864146
 0.10724124 0.10358591 0.1022711  0.10080474 0.09826259 0.09786321
 0.09709013 0.09696214 0.09612397 0.09458242 0.08949132 0.08828139
 0.08554409 0.08453474 0.08303673 0.07902347 0.07788105 0.07776982
 0.0760695  0.07572801 0.07535512 0.07515266 0.0751393  0.07487034
 0.07329673 0.07233185 0.07126158 0.0709566  0.06912103 0.06834354
 0.06755593 0.06667079 0.06633204 0.06528257 0.06465437 0.06394915
 0.06280044 0.06238944 0.06196393 0.06173189 0.06073668 0.0598918
 0.05886996 0.05855622 0.0583504  0.05731176 0.05661279 0.05653712
 0.05581567 0.05534799 0.05475046 0.05431342 0.05326604 0.0525042
 0.05154252 0.05135866 0.05124649 0.05089733 0.05065614 0.05057206]"
248193548,[4 2],"[ 2  9  1 22  5 10 11 21 15 17 23 25  5  3  2 10  1 22  8  7  2 24 19  2
 12 11 20 10 15  4  7  4  2  8 14 25 11  9  2 11 18 10 26 16  2  9 13  2
  5  2 22  1  7 23  9  5 11 26  7 11 19  1 11  6  8  9  2  2  2 17 17 14
  5 15  2  9 15  3 21 11 12 21 12 25  5  1  5]","[0.8929289  0.47182804 0.45198396 0.32304826 0.24833867 0.18964098
 0.18920787 0.18276198 0.1806558  0.17548317 0.16873795 0.16472721
 0.12837006 0.12267131 0.11469253 0.11403788 0.1098208  0.10833447
 0.10770701 0.10689788 0.10676401 0.10572829 0.10494974 0.10316674
 0.09592915 0.09527901 0.09504024 0.09401494 0.09290173 0.09230275
 0.09001311 0.08926112 0.08853012 0.08568455 0.08318098 0.08315164
 0.08276818 0.08120025 0.08077478 0.0778816  0.07725649 0.07461677
 0.07328732 0.07323566 0.07316569 0.07189716 0.07153047 0.07049575
 0.06884189 0.06592353 0.06542777 0.06453551 0.06392276 0.06305896
 0.06206373 0.06149799 0.06108806 0.06101899 0.059823   0.05954254
 0.05924701 0.05906862 0.05754193 0.05629482 0.05624951 0.05591969
 0.05587726 0.0558149  0.05572562 0.05556489 0.05512476 0.05507972
 0.0541585  0.05344217 0.05331983 0.0531753  0.05278499 0.05247239
 0.05232979 0.05152134 0.05116974 0.05103055 0.05084914 0.05079905
 0.05068596 0.05061555 0.05018853]","[77  1 33 31  1  1 85 40  1  1 33  1 67  1  1 27 67 51 73 84 10 61 33 31
 63  1 65 84 63  1 65 80 67 44 77 84 47 67 62 15 63  1 65 73 67 33 50 63
 62 31 44 84 51 44 73 62 77 62 31  3 73 27 73 72 54 67 33 62 44 75 84 46
 47 44 31 65 31 77 67 72  3 72 67 62 44 72 60 77 32  1 16 18 33 31 44  2
 27 78]","[0.87661743 0.6028712  0.5352452  0.33798435 0.3006386  0.25014976
 0.23483188 0.20957592 0.19019085 0.18359798 0.1807449  0.1779473
 0.17517133 0.17213413 0.14247115 0.1349636  0.13450277 0.13448335
 0.13299364 0.13181944 0.13021874 0.12744348 0.10943165 0.10917027
 0.10675449 0.10357791 0.10216811 0.10183959 0.09986655 0.09933089
 0.09673011 0.09559447 0.09372093 0.09304241 0.09176686 0.09070292
 0.08878607 0.08807705 0.08754588 0.08722981 0.08400239 0.08280879
 0.08238566 0.08121836 0.07920589 0.07730997 0.07638736 0.07599454
 0.07512008 0.07451376 0.07375592 0.073681   0.07190622 0.07152556
 0.07148764 0.0710108  0.07015879 0.06971125 0.06915985 0.06837396
 0.06825579 0.06821394 0.0679842  0.06738856 0.06736839 0.06644713
 0.06613714 0.06608086 0.06546998 0.06475288 0.06372327 0.06360076
 0.06267133 0.06221827 0.06190947 0.06106547 0.06034735 0.05868983
 0.0578755  0.05692028 0.05678796 0.05673563 0.05661075 0.05617557
 0.05571389 0.05534665 0.05533231 0.0545829  0.05421891 0.05385115
 0.05313737 0.0527048  0.05248083 0.05217712 0.05167147 0.05164427
 0.05152596 0.0503597 ]"
249623348,[2 4],"[ 2  1 22  1  9  1  5 21  2  2 22  1 11 25 11 15  2  4  7 10  2  7 10 11
 22 17  8 23 21 15  5 22 11  9 11 11 24  4  2  3 22 19 26  9 22  1]","[0.6370758  0.3006255  0.2729222  0.2495865  0.2080986  0.2028118
 0.18855053 0.16408353 0.16307956 0.15958671 0.1548012  0.14985937
 0.14972158 0.1491048  0.1437569  0.139922   0.13790815 0.1210737
 0.11260544 0.10934168 0.10865919 0.10284386 0.09348594 0.08912814
 0.08611899 0.0829241  0.0824226  0.07743211 0.07731862 0.07452303
 0.07094371 0.06967316 0.06695335 0.06667995 0.06414022 0.06277216
 0.06234366 0.06174578 0.06086155 0.05749181 0.05588933 0.05496686
 0.05325541 0.05178913 0.0507137  0.05053914]","[77  1  1 31  1  1 77 27 33  1  1 73 77 40  1  1 77 84  1 31 16 31 44 27
 62 32 77 73 72 27  1 27 41 41 44 44 28 27 27 31  1 62 88  1 84 28 38 75
 72 33  3 10  1  1 31 84 41]","[0.82273114 0.74334514 0.5617158  0.5480554  0.38286316 0.35975054
 0.23966992 0.21298644 0.19557357 0.16352469 0.14653859 0.14360946
 0.1419627  0.1354553  0.13087256 0.1287913  0.12818499 0.11664744
 0.11265894 0.11025963 0.1075     0.10181378 0.09946776 0.09714883
 0.09416778 0.08844162 0.08077657 0.08050922 0.0792405  0.07650509
 0.07638321 0.07088366 0.0701574  0.06606166 0.06588868 0.06419883
 0.06408362 0.0636575  0.06314866 0.06266958 0.06236288 0.05981369
 0.05924434 0.05778298 0.05588949 0.05536321 0.05467869 0.05465652
 0.05463431 0.05427964 0.05319797 0.05158452 0.0514885  0.05107867
 0.05087513 0.05068426 0.05060113]"
